iter,ats,url,category,field_type,is_required,label
19,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5023394008,location,text,0,"Country"
19,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5023394008,other,search,0,"Search"
19,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5023394008,other,text,1,"Please note that you will not be considered unless you complete the Constellation application form. *"
19,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5023394008,no_label,text,1,""
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,location,text,0,"Country"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,other,search,0,"Search"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,phone,tel,0,"Phone"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,file_upload,file,0,"Attach"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,file_upload,file,0,"Attach"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,linkedin_url,text,0,"LinkedIn Profile"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,portfolio_url,text,0,"Website"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,work_mode,text,0,"Are you open to working in person in our London office 2-3 times a week?"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,consent_checkbox,text,1,"Are you currently bound by any agreements with a current or former employer that may restrict your ability to work for Scale AI or perform the duties of the position for which you are applying?  This "
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,no_label,text,1,""
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,other,text,0,"If yes; please provide further explanation below."
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,work_authorization,text,1,"Are you legally authorized to work in the country where the job is located?*"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,no_label,text,1,""
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,work_authorization,text,1,"Will you now or in the future require company sponsorship to retain or extend your work authorization in the country where the job is located?*"
20,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4631613005,no_label,text,1,""
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,email,text,1,"Email*"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,location,text,0,"Country"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,other,search,0,"Search"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,phone,tel,0,"Phone"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,file_upload,file,0,"Attach"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,file_upload,file,0,"Attach"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,linkedin_url,text,0,"LinkedIn Profile"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,portfolio_url,text,0,"Website"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,work_mode,text,0,"Are you open to working in person in our San Francisco office 2-3 times a week?"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,consent_checkbox,text,1,"Are you currently bound by any agreements with a current or former employer that may restrict your ability to work for Scale AI or perform the duties of the position for which you are applying?  This "
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,no_label,text,1,""
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,other,text,0,"If yes; please provide further explanation below."
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,work_authorization,text,1,"Are you legally authorized to work in the country where the job is located?*"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,no_label,text,1,""
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,work_authorization,text,1,"Will you now or in the future require company sponsorship to retain or extend your work authorization in the country where the job is located?*"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,no_label,text,1,""
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,demographics,text,0,"Gender"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,other,text,0,"Are you Hispanic/Latino?"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,demographics,text,0,"Veteran Status"
21,greenhouse,https://job-boards.greenhouse.io/scaleai/jobs/4654897005,demographics,text,0,"Disability Status"
22,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5076929008,email,text,1,"Email*"
22,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5076929008,location,text,1,"Country*"
22,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5076929008,no_label,text,1,""
22,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5076929008,other,search,0,"Search"
22,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5076929008,phone,tel,1,"Phone*"
22,greenhouse,https://job-boards.greenhouse.io/anthropic/jobs/5076929008,file_upload,file,0,"Attach"
